Year	CO2	Cab	Ele
1	1994	1617652.336	1.9852834	874881000000
2	1995	1558258.896	1.7603474	859026000000
3	1996	1541481.44	2.7690138	846166000000
4 1997	1481432.144	-0.0198	833174000000
5 1998	1421276.592	0.0809	826189000000
6 1999	1422991.344	12.5651104	845347000000
7 2000	1442623.056	18.035344	876468000000
8 2001	1441465.232	11.0679362	889333000000
9 2002	1432001.12	8.4752904	889312000000
10 2003	1480790.944	8.206509	914328000000
11 2004	1498927.744	10.0570354	929905000000
12 2005	1514411.808	11.0658901	951159000000
13 2006	1563531.392	9.5502911	993865000000

