	v1A1	v2A1	v3A1	v4A1	v5A1	v6A1	v7A1	v8A1	v9A1	v10A1	v11A1	v12A1	v13A1	v14A1	v15A1
Ba20002a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ba20003a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ba20005a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ba20006a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ba20007a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ba20009a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ba20010a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ba20011a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ba20012a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ba20014a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ba20015a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bar0003a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bar0005a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bar0012a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bar0014a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bar0015a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bar0016a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bar0017a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bar0019a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bar0020a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bar0021a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bar0022a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bar0023a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bar0024a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bar0025a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBP0001a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBP0003a	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBP0004a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBP0005a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBP0006a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBP0007a	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBP0008a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBP0010a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBP0012a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBP0015a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBP0016a	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
BBP0017a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBP0019a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBP0020a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBP0023a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBP0024a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ode0007a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ode0008a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ode0009a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ode0010a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ode0011a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ode0013a	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ode0014a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ode0016a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ode0018a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ode0020a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0002a	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0003a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0006a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0010a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0015a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0016a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0019a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0025a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0026a	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ECD0027a	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ECD0028a	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0029a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0030a	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
ECD0033a	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0034a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0036a	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ECD0038a	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ECD0041a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0042a	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0044a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0046a	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0047a	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0048a	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ECD0050a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0058a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0059a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0060a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0061a	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0063a	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ECD0065a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0067a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0068a	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0072a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0082a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0083a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD0084a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0001a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0003a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0004a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0006a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0009a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0010a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0029a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0030a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0032a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0033a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0037a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0054a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0056a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0060a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0063a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0064a	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0065a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0066a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0067a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0068a	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
SCD0071a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0074a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0078a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0099a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0100a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCD0203a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka022	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ka023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka024	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ka029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ka031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
