기다리다 - ждать               - wait
에게서 - от (кого) 1           - from 1
한테서 - от (кого) 2           - from 2
아직 - пока что                - yet
왜 - почему                    - why
에게 - к (кому-л) 1            - to 1
한테 - к (кому-л) 2            - to 2
모르다 - не знать               - not to know
그래서 - поэтому, следовательно - so
지_못하다 - не мочь чтол сделать - cannot do
요즘 - нынче, последнее время   - nowadays
건강 - здоровье                 - health
어떻다 - как, каков             - what, how
괜찮다 - нормально              - alright, be ok
잘 - хорошо                    - well
하루 - один день, сутки         - day
선생님 - учитель                - teacher
받다 - получать                 - receive
자주 - часто                    - often
여자 친구 - возлюбленная, подруга - girlfriend
새해 - Новый год                - New Year
선물 - подарок                  - gift
말 - речь, слова                - words
아는_사람 - знакомый             - acquaintance
전화를 걸다 - звонить по телефону - call phone
물어보다 - спрашивать            - ask
문제 - вопрос, задача           - problem
생기다 - появляться, возникать   - arise, come into being 
목 - горло, шея                 - neck
아프다 - больной, болеть         - pain
약 - лекарство                  - medicine
스키 - лыжи                     - ski
스키_타다 - кататься на лыжах    - skiing
감기 - простуда                 - cold
감기에 걸리다 - простудиться     - catch cold
작다 - маленький                - small, little
비밀 - секрет                   - secret
술 - спиртное                   - alcohol
가만히 - спокойно                - quietly
생선 - сырая рыба                - raw fish
멋지다 - шикарный 1              - cool 1
멋있다 - шикарный, стильный      - cool 2
이라 - Ира                       - Ira
한국말 - корейский язык          - Korean language
가동차 - автомобиль              - car
처음_뵙겠습니다 - приятно познакомиться - How do you do?
만나서_반갑습니다 - рад встрече         - Nice to meet you
오래간만입니다 - давно не виделись      - It's been a long time
어떻게_지내십니까? - как поживаете?     - How are you?
잘_지냅니다 - Я живу хорошо.           - Doing all right.
처음 - первый раз, начало         - first, beginning
울다 - плакать                    - cry
