자기      - свой, сам                 - oneself
소개      - представление             - Introduction
자기 소개  - о себе                    - About Me
태어나다  - родиться                   - be born, arrive
자라다    - расти                      - grow up
초등학교   - начальная школа           - elementary school
입학하다   - поступить в уч заведение  - Enter a school
어리다    - маленький, молодой         - younger
고등학교  - старшая школа              - High school
졸업하다  - окончить уч заведение      - graduate
대학교    - университет                - University
학과     - кафедра, отделение          - subject of study
학년     - класс, курс                 - Grade
제일     - самый, больше всего         - Most
수영     - плавание                    - Swimming
일주일    - неделя                     - Week
번       - раз                         - number, time, turn
수박      - арбуз                      - Watermelon
달다      - сладкий                    - sweet
산        - гора                       - mountain
보다      - чем                        - Than
어떤      - какой                       - Certain, any
의과 대학  - медицинский институт       - School of Medicine
잘생기다   - красивый                   - beautiful
머리가 좋다 - умный                     - clever
아기씨     - девушка                    - girl
고등 학생  - ученик старшей школы       - High School Student
올해      - этот год                   - this year
되다      - становиться, получаться    - become
과        - отделение, курс            - course, section
경제학     - экономика                 - Economics
쓰다       - горький                   - taste bitter
얼음       - лед                       - Ice
바람       - ветер                     - wind
성함       - имя                       - your name



