세수하다 - умываться              - wash
목욕하다 - мыться                 - take a bath
식사하다 - есть, кушать           - eat meal
닦다 - мыть, вытирать, чистить   - polish
다 - все, всё                    - the
그다음에 - затем                  - then
일기 - дневник                    - diary
죽다 - умирать                    - die
시원하다 - прохладный              - cool
넓다 - широкий                    - wider
좁다 - узкий, тесный              - narrow
음식 - еда                        - food
그런 - такой                      - then,such
필요하다 - нужный                  - necessary
싫다 - неприятный                 - nope
동네 - район                      - town
아주머니 - тетя                    - Aunt, ma'am
따쉬켄트 - Ташкент                 - Tashkent
시내 - город, черта города, центр  - city
정류장 - остановка                 - stop
버스 정류장 - автобусная остановка  - bus stop
