Date,Codeforces task,5 minute exercise,Korean page,News < 30 min
09/19/17,859 C, +,Mouse 20%, ???
09/20/17,850 B, +,Mouse 30%,
09/21/17,,,,
09/22/17,862 B, +,,
09/23/17,555 B, +,Mouse 40%,
09/24/17,145 B, +,Mouse 48%,
09/25/17,864 A, +,,
09/26/17,864 B, +,,
09/27/17,Mouse 90%,,,
09/28/17,863 B Kayaking, +,Mouse 100%,
09/29/17,, -,,
09/30/17,, -,,
10/01/17,, -,,
10/02/17,, -,,
10/03/17,, -,,
10/04/17,, -,,
10/05/17,, -,,
10/06/17,, -,,
10/07/17,, -,,
10/08/17,, -,,
10/09/17,, -,,
10/10/17,, -,,
10/11/17,, -,,
10/12/17,, -,,
10/13/17,, -,,
10/14/17,, -,,
10/15/17, 876 B, -,,
10/16/17, 876 C, -,,
10/17/17, 876 D, -,Chameleon 1%,
10/18/17,, -,Chameleon 9%,
10/19/17,,,,
10/20/17,,,,
10/21/17,,,,
10/22/17,,,,
10/23/17,,,,
10/24/17,,,,
10/25/17,,,,
