Date,,,,,Have check
Получил 16 ноября от Пети,,,,5000,
11/17/16,Купил пролд,,420,,
,Купил мясо,,500,,
11/19/16,"Продукты Хлеб, яйца, …",,488,,
11/21/16,продукты сыр печенье,,457,,
11/24/16,Имбирь Мол Хлеб,,192,,
11/26/16,Продукты Яйца хлеб тбум,,557,,
11/30/16,Продукты Яйца хлеб ябл бан,,644,,
,Мясо,,487,,
12/03/16,продукты яйца шоколадки,,679,,
12/05/16,Coffee,,880,,
12/06/16,Food,,360,,
12/09/16,"Food, Cherry",,760,,
12/12/16,Food,,300,,
,Kolbasa Krakovskaia,,200,,
,"Farsh, salo",,200,,
12/13/16,Kolbasa,,185,, +
,Food suhari …,,250,, +
12/15/16,Food eggs …,,250,,
,Meat,,180,,
,Meat,,232,, +
12/18/16,Food,,544,,
12/22/16,Food,,424,, +
12/24/16,Food eggs bread,,211,, +
,Food,,141,, +
,Kolbasa,,266,, +
12/26/16,Food eggs bread,,339,,+
,Food,,246,,+
,Food,,382,,+
01/01/17,Food eggs bread,,411,,+
01/02/17,Food chees lecho,,312,,+
,Kolbasa,,476,,+
01/04/17,Kolbasa,,211,,+
,Food eggs …,,167,,+
,Болты гайки,,78,, +
01/06/17,Kolbasa,,90,,+
,Food eggs …,,287,,+
01/08/17,"АШАН простыня, коврик USB ..",,2383,,+
01/09/17,Food eggs bread cheese kotl,,925,,+
01/10/17,Kolbasa,,260,,+
01/13/17,Kolbasa,,92,,+
01/13/17,Food eggs …,,410,,+
01/15/17,Meat,,240,,+
01/17/17,Food Eggs Bread,,493,, +
01/20/17,Food,,383,, +
01/22/2017,Food,,344,, +
01/25/2017,Food Eggs Bread,,364,, +
01/28/17,Food,,406,, +
01/30/17,Kolbasa ? Natalia Vladislavna,,198,, +
01/31/17,Kolbasa ? Terent,,160,, +
01/31/17,Food,,160,, +
02/01/17,Food,,567,, +
02/02/17,Food,,274,, +
02/03/17,"Food, Pelmeni",,537,, +
02/04/17,Food,,500,, +
02/05/17,Food,,148,, +
,Food,,135,,
,,,,,
,,,,,
,,Summa,21785,,
