X1	X2	X3	X4	X5	Y1	Y2	Y3	Y4	Y5	Y6	Y7
3.5	3.3	3.4	4.0	3.6	143.0	86.0	229.0	58.0	15.0	21.0	26.0
1.7	3.3	3.6	4.0	1.5	135.0	96.0	231.0	67.0	31.0	26.0	31.0
2.5	3.2	4.3	3.8	3.0	146.0	90.5	236.5	55.0	26.0	17.0	29.0
1.5	2.7	4.1	4.1	2.4	117.0	98.0	215.0	58.0	31.0	26.0	35.0
2.4	4.1	3.4	3.5	3.3	135.0	92.0	227.0	60.0	16.0	19.0	33.0
2.5	3.5	3.7	3.9	2.9	111.0	88.0	199.0	55.0	20.0	18.0	30.0
2.2	3.9	3.8	2.9	2.8	152.0	76.0	228.0	67.0	27.0	23.0	36.0
2.5	3.5	4.9	4.1	2.1	148.4	101.0	249.4	62.0	22.0	25.0	33.0
2.4	3.4	3.3	3.8	3.6	116.0	83.0	199.0	52.0	24.0	25.0	30.0
3.4	3.1	3.8	3.8	2.5	106.0	82.0	188.0	57.0	23.0	17.0	31.0
2.3	3.2	3.4	3.4	2.0	124.0	94.1	218.1	56.0	28.0	19.0	36.0
2.6	3.9	3.3	3.1	2.8	137.0	95.0	232.0	54.0	18.0	19.0	35.0
2.5	2.9	3.0	3.4	2.1	129.0	90.0	219.0	49.0	23.0	22.0	33.0
1.8	2.4	3.9	3.6	2.5	0.0	0.0	0.0	61.0	32.0	27.0	30.0
2.5	2.4	3.7	4.1	2.5	127.0	91.0	218.0	63.0	27.0	21.0	31.0
1.2	3.0	3.8	3.4	1.8	122.0	72.0	194.0	67.0	30.0	24.0	38.0
3.9	3.7	4.6	3.8	3.0	121.0	88.6	209.6	60.0	18.0	13.0	29.0
3.3	3.4	3.7	3.0	3.5	78.0	94.0	172.0	56.0	11.0	18.0	14.0
3.3	4.2	3.9	3.1	2.4	113.0	89.0	202.0	55.0	16.0	19.0	32.0
1.7	2.9	3.4	4.4	1.6	134.0	83.0	217.0	60.0	26.0	23.0	32.0
3.2	4.6	4.0	4.1	2.4	145.0	102.0	247.0	72.0	24.0	23.0	35.0
2.5	2.6	3.9	2.9	1.4	131.0	88.0	219.0	59.0	18.0	21.0	36.0
3.1	2.9	2.9	2.8	2.5	114.0	82.1	196.1	57.0	16.0	16.0	31.0
3.4	4.3	3.1	3.8	3.0	111.0	87.0	198.0	53.0	22.0	18.0	29.0
2.2	3.3	3.9	4.1	2.9	133.0	92.0	225.0	52.0	25.0	19.0	34.0
2.9	3.6	4.0	3.8	2.6	133.0	82.0	215.0	61.0	28.0	20.0	33.0
1.4	2.9	3.9	4.3	3.0	132.0	98.5	230.5	71.0	16.0	21.0	37.0
2.0	3.4	3.9	3.8	2.1	98.0	81.0	179.0	58.0	19.0	17.0	29.0
2.4	3.8	3.6	4.4	2.8	131.0	109.0	240.0	57.0	26.0	22.0	33.0
2.3	3.6	4.0	3.8	2.6	127.0	85.0	212.0	53.0	22.0	19.0	30.0
